campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP005,13648608306,375627610,3.9478033396000457E8,20403485,0.02752131217912321,19.348671756810397
CMP022,13703365735,377109904,3.958996846400108E8,20480486,0.02751950953456764,19.330580565325
CMP023,13657508417,375769033,3.9420357686999667E8,20390213,0.027513732485221577,19.332979840377178
CMP011,13714973625,377330481,3.963090007800101E8,20463005,0.027512300884938813,19.367096903900972
CMP018,13708338704,377076026,3.960031755299971E8,20477639,0.02750705494969801,19.338321938871815
CMP026,13652760288,375491308,3.9444260758000344E8,20370126,0.027502959114431645,19.36377848521916
CMP019,13675562649,376096719,3.9506288155999714E8,20415450,0.027501370777421093,19.35117186052706
CMP042,13717935895,377260350,3.9657646738999563E8,20507021,0.027501247482684784,19.33857030672547
CMP004,13705584584,376906722,3.959925974000052E8,20491770,0.027500229537089842,19.324470136059755
CMP027,13719269461,377233894,3.961539289199962E8,20462054,0.02749664587260781,19.360418505395216
